step time f_darcy f_darcy_dpdx tau_avg u_bulk reynolds
0 0.000000e+00 1.382369e-03 2.297321e-03 3.008655e-03 4.172719e+00 5.563625e+04
10 5.087482e-05 1.978168e-05 2.301895e-03 4.296824e-05 4.168571e+00 5.558095e+04
20 5.619850e-05 1.275840e-04 2.302584e-03 2.770452e-04 4.167948e+00 5.557264e+04
30 6.623409e-05 -9.361609e-04 2.282399e-03 -2.050826e-03 4.186337e+00 5.581782e+04
40 6.635175e-05 -5.047637e-05 2.273475e-03 -1.110115e-04 4.194546e+00 5.592728e+04
50 6.666716e-05 8.808482e-05 2.273612e-03 1.937112e-04 4.194419e+00 5.592558e+04
60 6.792495e-05 1.118757e-04 2.276016e-03 2.457709e-04 4.192204e+00 5.589605e+04
70 7.162421e-05 1.571407e-04 2.278029e-03 3.449049e-04 4.190351e+00 5.587134e+04
80 8.031822e-05 2.536804e-04 2.279638e-03 5.564050e-04 4.188872e+00 5.585162e+04
90 8.627781e-05 4.887551e-04 2.313286e-03 1.056409e-03 4.158295e+00 5.544394e+04
100 8.627782e-05 3.256155e-04 2.325507e-03 7.000959e-04 4.147355e+00 5.529807e+04
110 8.627784e-05 2.951283e-04 2.336071e-03 6.316768e-04 4.137967e+00 5.517289e+04
120 8.627786e-05 2.701176e-04 2.345598e-03 5.757970e-04 4.129555e+00 5.506073e+04
130 8.627789e-05 2.579772e-04 2.354422e-03 5.478567e-04 4.121809e+00 5.495745e+04
140 8.627793e-05 2.550604e-04 2.362966e-03 5.397039e-04 4.114351e+00 5.485801e+04
150 8.627799e-05 2.551265e-04 2.371430e-03 5.379170e-04 4.107001e+00 5.476002e+04
160 8.627806e-05 2.566272e-04 2.379861e-03 5.391643e-04 4.099720e+00 5.466293e+04
170 8.627815e-05 2.604016e-04 2.388317e-03 5.451572e-04 4.092456e+00 5.456608e+04
180 8.627825e-05 2.659628e-04 2.396865e-03 5.548137e-04 4.085152e+00 5.446869e+04
190 8.627837e-05 2.725508e-04 2.405541e-03 5.665062e-04 4.077779e+00 5.437038e+04
200 8.627852e-05 2.804256e-04 2.414368e-03 5.807435e-04 4.070318e+00 5.427090e+04
210 8.627869e-05 2.898737e-04 2.423381e-03 5.980772e-04 4.062741e+00 5.416989e+04
220 8.627888e-05 3.007532e-04 2.432611e-03 6.181695e-04 4.055026e+00 5.406701e+04
230 8.627910e-05 3.131716e-04 2.442083e-03 6.411976e-04 4.047154e+00 5.396206e+04
240 8.627935e-05 3.274659e-04 2.451819e-03 6.678019e-04 4.039111e+00 5.385481e+04
250 8.627963e-05 3.438542e-04 2.461842e-03 6.983677e-04 4.030881e+00 5.374508e+04
260 8.627994e-05 3.626067e-04 2.472168e-03 7.333778e-04 4.022453e+00 5.363271e+04
270 8.628028e-05 3.840929e-04 2.482816e-03 7.735023e-04 4.013818e+00 5.351757e+04
280 8.628067e-05 4.086845e-04 2.493810e-03 8.193979e-04 4.004961e+00 5.339949e+04
290 8.628109e-05 4.367460e-04 2.505180e-03 8.716859e-04 3.995862e+00 5.327817e+04
300 8.628155e-05 4.685960e-04 2.516968e-03 9.308738e-04 3.986494e+00 5.315326e+04
310 8.628206e-05 5.044623e-04 2.529218e-03 9.972692e-04 3.976828e+00 5.302438e+04
320 8.628260e-05 5.444670e-04 2.541970e-03 1.070955e-03 3.966841e+00 5.289121e+04
330 8.628320e-05 5.886409e-04 2.555257e-03 1.151823e-03 3.956514e+00 5.275352e+04
340 8.628384e-05 6.369538e-04 2.569102e-03 1.239643e-03 3.945838e+00 5.261118e+04
350 8.628454e-05 6.893499e-04 2.583529e-03 1.334124e-03 3.934806e+00 5.246408e+04
360 8.628529e-05 7.457759e-04 2.598568e-03 1.434975e-03 3.923403e+00 5.231204e+04
370 8.628610e-05 8.061985e-04 2.614262e-03 1.541924e-03 3.911609e+00 5.215478e+04
380 8.628697e-05 8.706107e-04 2.630662e-03 1.654737e-03 3.899397e+00 5.199196e+04
390 8.628790e-05 9.390319e-04 2.647826e-03 1.773213e-03 3.886738e+00 5.182318e+04
400 8.628890e-05 1.011505e-03 2.665815e-03 1.897177e-03 3.873602e+00 5.164803e+04
410 8.628997e-05 1.088091e-03 2.684702e-03 2.026465e-03 3.859953e+00 5.146603e+04
420 8.629111e-05 1.168873e-03 2.704574e-03 2.160918e-03 3.845745e+00 5.127661e+04
430 8.629232e-05 1.253948e-03 2.725540e-03 2.300366e-03 3.830926e+00 5.107901e+04
440 8.629362e-05 1.343431e-03 2.747732e-03 2.444618e-03 3.815424e+00 5.087232e+04
450 8.629500e-05 1.437455e-03 2.771301e-03 2.593466e-03 3.799165e+00 5.065553e+04
460 8.629646e-05 1.536178e-03 2.796422e-03 2.746685e-03 3.782062e+00 5.042749e+04
