step time inner_iter continuity_l2 mom_u_l2 mom_v_l2
0 0.000000e+00 5 1.960117e-02 1.002759e-11 6.068430e-16
10 1.373194e-02 5 3.711988e-03 2.348219e-11 2.672620e-15
20 2.813005e-02 5 2.891228e-03 1.322847e-11 3.934474e-15
30 4.308023e-02 5 2.197447e-03 1.082496e-11 3.271264e-15
40 5.856224e-02 5 1.698336e-03 1.001718e-11 4.984677e-15
50 7.458273e-02 5 1.317100e-03 1.466342e-11 7.319258e-15
60 9.115670e-02 5 1.033721e-03 2.904296e-15 1.025849e-14
70 1.082947e-01 5 8.629519e-04 1.623272e-11 1.005662e-14
80 1.258258e-01 5 7.212223e-04 1.557190e-11 1.028201e-14
90 1.434606e-01 5 7.516491e-04 1.453403e-11 9.814394e-15
100 1.613298e-01 5 7.874365e-04 1.522784e-11 9.803890e-15
110 1.795024e-01 5 8.068295e-04 1.442096e-11 9.375139e-15
120 1.980441e-01 5 8.211851e-04 1.579924e-11 9.272122e-15
130 2.170328e-01 5 8.349919e-04 1.530082e-11 8.822265e-15
140 2.365345e-01 5 8.586341e-04 2.725892e-15 8.303672e-15
150 2.565927e-01 5 8.961781e-04 2.967467e-15 7.889076e-15
160 2.771933e-01 5 9.398556e-04 3.064842e-15 7.045477e-15
170 2.980450e-01 5 8.479870e-04 3.445067e-15 6.588607e-15
180 3.190342e-01 5 7.175815e-04 1.433467e-11 7.802144e-15
190 3.401291e-01 5 6.131164e-04 2.590604e-15 6.799902e-15
200 3.613024e-01 5 5.473751e-04 1.430687e-11 5.889407e-15
210 3.825309e-01 5 5.146657e-04 2.555560e-15 5.172973e-15
220 4.037951e-01 5 5.037921e-04 2.609881e-15 4.705294e-15
230 4.250787e-01 5 5.040971e-04 3.911457e-15 4.387079e-15
240 4.463679e-01 5 5.080538e-04 3.699832e-15 5.548815e-15
250 4.676513e-01 5 5.112972e-04 3.481558e-15 5.204527e-15
260 4.889191e-01 5 5.117275e-04 3.413853e-15 4.698894e-15
270 5.101633e-01 5 5.086164e-04 3.597249e-15 4.413978e-15
280 5.313772e-01 5 5.019837e-04 3.284510e-15 3.761079e-15
290 5.525550e-01 5 4.922150e-04 2.989802e-15 4.366003e-15
300 5.736919e-01 5 4.798444e-04 2.717042e-15 3.751723e-15
310 5.947841e-01 5 4.654341e-04 2.474332e-15 3.243344e-15
320 6.158280e-01 5 4.495148e-04 1.478712e-11 2.950287e-15
330 6.368210e-01 5 4.325557e-04 1.381861e-11 2.552539e-15
340 6.577606e-01 5 4.149548e-04 1.362983e-11 3.227778e-15
350 6.786449e-01 5 3.970432e-04 1.263977e-11 2.825072e-15
360 6.994723e-01 5 3.790871e-04 1.173687e-11 2.477115e-15
370 7.202413e-01 5 3.612960e-04 1.133524e-11 2.426513e-15
380 7.409508e-01 5 3.438302e-04 1.052079e-11 2.145365e-15
390 7.616000e-01 5 3.268144e-04 1.131892e-11 2.625436e-15
400 7.821880e-01 5 3.103344e-04 1.039087e-11 2.333961e-15
410 8.027143e-01 5 2.944489e-04 9.855040e-12 2.085244e-15
420 8.231784e-01 5 2.791964e-04 9.556171e-12 1.949732e-15
430 8.435800e-01 5 2.645990e-04 8.830520e-12 1.739117e-15
440 8.639188e-01 5 2.506661e-04 1.089284e-11 2.802017e-15
450 8.841947e-01 5 2.373954e-04 1.005785e-11 2.626396e-15
460 9.044075e-01 5 2.247778e-04 9.298588e-12 2.472809e-15
470 9.245574e-01 5 2.127983e-04 8.800548e-12 2.351926e-15
480 9.446443e-01 5 2.014369e-04 8.874690e-12 6.454359e-15
490 9.646682e-01 5 1.906719e-04 9.633764e-12 6.200627e-15
500 9.846294e-01 5 1.804793e-04 1.002228e-11 5.949631e-15
510 1.004528e+00 5 1.708336e-04 9.547858e-12 5.700730e-15
520 1.024364e+00 5 1.617086e-04 9.081832e-12 5.470515e-15
530 1.044138e+00 5 1.530784e-04 9.055047e-12 5.258759e-15
540 1.063850e+00 5 1.449179e-04 9.829926e-12 5.083981e-15
550 1.083501e+00 5 1.372021e-04 1.044713e-11 4.910042e-15
560 1.103090e+00 5 1.299063e-04 9.767227e-12 4.729703e-15
570 1.122618e+00 5 1.230070e-04 9.403409e-12 4.562811e-15
580 1.142086e+00 5 1.164820e-04 9.760635e-12 4.409598e-15
590 1.161493e+00 5 1.103102e-04 1.025419e-11 4.285040e-15
600 1.180840e+00 5 1.044718e-04 1.076030e-11 4.158296e-15
610 1.200128e+00 5 9.894713e-05 1.022450e-11 4.024837e-15
620 1.219357e+00 5 9.371788e-05 9.613236e-12 3.900091e-15
630 1.238528e+00 5 9.690393e-05 9.695330e-12 3.787410e-15
640 1.257644e+00 4 9.790006e-05 9.944960e-12 3.682595e-15
650 1.276710e+00 4 9.659347e-05 1.004848e-11 3.598111e-15
660 1.295727e+00 4 9.828344e-05 1.108245e-11 3.514174e-15
