step time f_darcy f_darcy_dpdx tau_avg u_bulk reynolds
0 0.000000e+00 3.478333e-03 1.574384e-01 6.296590e-05 3.805503e-01 5.074005e+03
10 8.918330e-04 5.496403e-03 1.573349e-01 9.956310e-05 3.806755e-01 5.075673e+03
20 1.789678e-03 7.342553e-03 1.572322e-01 1.330915e-04 3.807997e-01 5.077330e+03
30 2.692855e-03 9.029992e-03 1.571304e-01 1.637841e-04 3.809230e-01 5.078974e+03
40 3.600857e-03 1.056304e-02 1.570294e-01 1.917135e-04 3.810456e-01 5.080608e+03
50 4.513298e-03 1.195293e-02 1.569290e-01 2.170780e-04 3.811674e-01 5.082232e+03
60 5.429878e-03 1.321405e-02 1.568293e-01 2.401339e-04 3.812886e-01 5.083848e+03
70 6.350356e-03 1.436130e-02 1.567301e-01 2.611476e-04 3.814092e-01 5.085456e+03
80 7.274538e-03 1.540880e-02 1.566314e-01 2.803720e-04 3.815294e-01 5.087058e+03
90 8.202263e-03 1.636928e-02 1.565332e-01 2.980355e-04 3.816491e-01 5.088654e+03
100 9.133398e-03 1.725395e-02 1.564354e-01 3.143391e-04 3.817684e-01 5.090245e+03
110 1.006782e-02 1.802505e-02 1.563437e-01 3.285798e-04 3.818802e-01 5.091736e+03
120 1.100495e-02 1.854959e-02 1.562777e-01 3.382847e-04 3.819610e-01 5.092813e+03
130 1.194397e-02 1.890360e-02 1.562311e-01 3.448433e-04 3.820179e-01 5.093572e+03
140 1.288439e-02 1.917434e-02 1.561943e-01 3.498648e-04 3.820629e-01 5.094172e+03
150 1.382589e-02 1.939579e-02 1.561633e-01 3.539757e-04 3.821008e-01 5.094677e+03
160 1.476835e-02 1.961134e-02 1.561324e-01 3.579804e-04 3.821386e-01 5.095182e+03
170 1.571181e-02 1.983411e-02 1.560995e-01 3.621229e-04 3.821788e-01 5.095718e+03
180 1.665636e-02 2.008830e-02 1.560609e-01 3.668546e-04 3.822261e-01 5.096348e+03
190 1.760216e-02 2.034647e-02 1.560204e-01 3.716657e-04 3.822757e-01 5.097010e+03
200 1.854926e-02 2.061940e-02 1.559761e-01 3.767582e-04 3.823300e-01 5.097734e+03
210 1.949771e-02 2.087127e-02 1.559338e-01 3.814641e-04 3.823819e-01 5.098426e+03
220 2.044748e-02 2.111457e-02 1.558915e-01 3.860155e-04 3.824338e-01 5.099117e+03
230 2.139857e-02 2.134965e-02 1.558492e-01 3.904190e-04 3.824856e-01 5.099809e+03
240 2.235090e-02 2.156669e-02 1.558089e-01 3.944900e-04 3.825351e-01 5.100468e+03
250 2.330446e-02 2.176698e-02 1.557705e-01 3.982518e-04 3.825822e-01 5.101096e+03
260 2.425915e-02 2.194209e-02 1.557360e-01 4.015446e-04 3.826246e-01 5.101661e+03
270 2.521495e-02 2.212181e-02 1.556996e-01 4.049281e-04 3.826693e-01 5.102258e+03
280 2.617178e-02 2.226921e-02 1.556690e-01 4.077064e-04 3.827070e-01 5.102760e+03
290 2.712959e-02 2.242198e-02 1.556364e-01 4.105893e-04 3.827470e-01 5.103293e+03
300 2.808832e-02 2.255360e-02 1.556077e-01 4.130756e-04 3.827823e-01 5.103764e+03
310 2.904793e-02 2.267381e-02 1.555809e-01 4.153488e-04 3.828152e-01 5.104203e+03
320 3.000836e-02 2.279154e-02 1.555542e-01 4.175773e-04 3.828482e-01 5.104642e+03
330 3.096957e-02 2.289869e-02 1.555293e-01 4.196075e-04 3.828788e-01 5.105050e+03
340 3.193153e-02 2.299579e-02 1.555064e-01 4.214489e-04 3.829070e-01 5.105427e+03
350 3.289419e-02 2.309117e-02 1.554835e-01 4.232595e-04 3.829352e-01 5.105803e+03
