step time inner_iter continuity_l2 mom_u_l2 mom_v_l2
0 0.000000e+00 5 7.002420e-03 1.452873e-11 6.530387e-16
10 8.918330e-04 5 1.425932e-04 1.446859e-11 1.418327e-16
20 1.789678e-03 5 2.728299e-04 1.566652e-11 7.105540e-17
30 2.692855e-03 5 3.398336e-04 1.281741e-11 2.967536e-17
40 3.600857e-03 5 3.487429e-04 1.238859e-11 1.152580e-16
50 4.513298e-03 5 3.291814e-04 1.323496e-11 9.965136e-17
60 5.429878e-03 5 2.936191e-04 1.111756e-11 1.735420e-16
70 6.350356e-03 5 2.501464e-04 1.179174e-11 1.441384e-16
80 7.274538e-03 5 2.045666e-04 1.050016e-11 1.281463e-16
90 8.202263e-03 5 1.608683e-04 1.113726e-11 1.256472e-16
100 9.133398e-03 5 1.215762e-04 5.796071e-12 1.171949e-16
110 1.006782e-02 4 9.959584e-05 6.232543e-12 3.991627e-16
120 1.100495e-02 3 9.794208e-05 6.610309e-12 4.464705e-16
130 1.194397e-02 2 9.986954e-05 6.364723e-12 4.325080e-16
140 1.288439e-02 1 9.621076e-05 6.661244e-12 3.802216e-16
150 1.382589e-02 2 9.941732e-05 7.100993e-12 4.500491e-16
160 1.476835e-02 2 9.727668e-05 7.413316e-12 4.040657e-16
170 1.571181e-02 2 9.884888e-05 7.772982e-12 3.695281e-16
180 1.665636e-02 3 9.832688e-05 8.101480e-12 3.444765e-16
190 1.760216e-02 2 9.966844e-05 8.533565e-12 3.267446e-16
200 1.854926e-02 3 9.771841e-05 8.993549e-12 3.155656e-16
210 1.949771e-02 3 9.896068e-05 9.483395e-12 3.096491e-16
220 2.044748e-02 2 9.909333e-05 9.996025e-12 3.089773e-16
230 2.139857e-02 3 9.797259e-05 1.054965e-11 3.445257e-16
240 2.235090e-02 3 9.700560e-05 1.093802e-11 3.503020e-16
250 2.330446e-02 3 9.687537e-05 1.150098e-11 3.484771e-16
260 2.425915e-02 1 9.874266e-05 1.064634e-11 3.474504e-16
270 2.521495e-02 3 9.649448e-05 1.118103e-11 5.511345e-16
280 2.617178e-02 1 9.916639e-05 1.069976e-11 5.325220e-16
290 2.712959e-02 2 9.696965e-05 1.117401e-11 5.210449e-16
300 2.808832e-02 2 9.813682e-05 1.166768e-11 5.289543e-16
310 2.904793e-02 1 9.858609e-05 1.222334e-11 5.960511e-16
320 3.000836e-02 2 9.807720e-05 1.301058e-11 8.724113e-16
330 3.096957e-02 2 9.743914e-05 1.349469e-11 8.417590e-16
340 3.193153e-02 1 9.714648e-05 1.401491e-11 8.172009e-16
350 3.289419e-02 1 9.585277e-05 1.456461e-11 7.978730e-16
360 3.385754e-02 1 9.666842e-05 1.513987e-11 7.838572e-16
370 3.482153e-02 1 9.458370e-05 1.574341e-11 7.754176e-16
380 3.578616e-02 1 9.712540e-05 1.636855e-11 7.716540e-16
390 3.675138e-02 1 9.601794e-05 1.701932e-11 7.732321e-16
400 3.771719e-02 1 9.328531e-05 1.769497e-11 7.797467e-16
410 3.868360e-02 1 9.006288e-05 1.836412e-11 8.013233e-16
420 3.965059e-02 1 8.682128e-05 1.902843e-11 8.166164e-16
430 4.061819e-02 1 8.374275e-05 1.976235e-11 8.351813e-16
440 4.158638e-02 1 8.088679e-05 2.011530e-11 8.435903e-16
450 4.255517e-02 1 7.826094e-05 2.089343e-11 8.685139e-16
460 4.352456e-02 1 7.585165e-05 2.166293e-11 8.977477e-16
470 4.449456e-02 1 7.363768e-05 2.235925e-11 9.410596e-16
480 4.546515e-02 1 7.159638e-05 2.294458e-11 9.324680e-16
490 4.643636e-02 1 6.970620e-05 2.290339e-11 9.273438e-16
500 4.740817e-02 1 6.794775e-05 2.377773e-11 9.635317e-16
510 4.838059e-02 1 6.630425e-05 2.401562e-11 9.711102e-16
520 4.935362e-02 1 6.476130e-05 2.361703e-11 9.666602e-16
530 5.032726e-02 1 6.330676e-05 2.447902e-11 1.004860e-15
540 5.130152e-02 1 6.193050e-05 2.537193e-11 1.045679e-15
550 5.227640e-02 1 6.062407e-05 2.582990e-11 1.065740e-15
560 5.325189e-02 1 5.938038e-05 2.667423e-11 1.106349e-15
570 5.422801e-02 1 5.819355e-05 2.765137e-11 1.152530e-15
580 5.520474e-02 1 5.705869e-05 2.794216e-11 1.138433e-15
590 5.618211e-02 1 5.597157e-05 2.895619e-11 1.185957e-15
600 5.716010e-02 1 5.492870e-05 3.006652e-11 1.236180e-15
610 5.813871e-02 1 5.392704e-05 3.113750e-11 1.288895e-15
620 5.911796e-02 1 5.296394e-05 3.222602e-11 1.342851e-15
630 6.009784e-02 1 5.203707e-05 3.335398e-11 1.400627e-15
640 6.107836e-02 1 5.114437e-05 3.412293e-11 1.584727e-15
650 6.205952e-02 1 5.028396e-05 3.387463e-11 1.550485e-15
660 6.304131e-02 1 4.945408e-05 3.446400e-11 1.597693e-15
670 6.402375e-02 1 4.865315e-05 3.441344e-11 1.633091e-15
680 6.500683e-02 1 4.787979e-05 3.559782e-11 1.802605e-15
690 6.599055e-02 1 4.713261e-05 3.431583e-11 1.845797e-15
700 6.697493e-02 1 4.641024e-05 3.436589e-11 1.869227e-15
710 6.795995e-02 1 4.571158e-05 3.523247e-11 1.921506e-15
720 6.894563e-02 1 4.503537e-05 3.632680e-11 1.977429e-15
730 6.993197e-02 1 4.438062e-05 3.744484e-11 2.037044e-15
740 7.091896e-02 1 4.374635e-05 3.726348e-11 1.989811e-15
750 7.190662e-02 1 4.313145e-05 3.835947e-11 2.046937e-15
760 7.289493e-02 1 4.253510e-05 3.900897e-11 2.080807e-15
770 7.388391e-02 1 4.195643e-05 3.994158e-11 2.142229e-15
780 7.487356e-02 1 4.139470e-05 3.855943e-11 2.078843e-15
790 7.586388e-02 1 4.084898e-05 3.917564e-11 2.126824e-15
800 7.685487e-02 1 4.031864e-05 3.849760e-11 2.073546e-15
810 7.784654e-02 1 3.980297e-05 3.846515e-11 2.128554e-15
820 7.883888e-02 1 3.930137e-05 3.922569e-11 2.147452e-15
830 7.983191e-02 1 3.881332e-05 3.892557e-11 2.210228e-15
840 8.082561e-02 1 3.833818e-05 3.985844e-11 2.274746e-15
850 8.182000e-02 1 3.787544e-05 4.123865e-11 2.350582e-15
860 8.281508e-02 1 3.742467e-05 4.238603e-11 2.425708e-15
870 8.381084e-02 1 3.698543e-05 4.355477e-11 2.503769e-15
880 8.480730e-02 1 3.655734e-05 4.385577e-11 2.496663e-15
890 8.580445e-02 1 3.613994e-05 4.486958e-11 2.553363e-15
900 8.680230e-02 1 3.573292e-05 4.614503e-11 2.633950e-15
910 8.780085e-02 1 3.533602e-05 4.590354e-11 2.647683e-15
920 8.880010e-02 1 3.494886e-05 4.712526e-11 2.731387e-15
930 8.980006e-02 1 3.457123e-05 4.836799e-11 2.817791e-15
940 9.080072e-02 1 3.420288e-05 4.963177e-11 2.906885e-15
950 9.180210e-02 1 3.384359e-05 5.010115e-11 2.996035e-15
960 9.280418e-02 1 3.349314e-05 5.144341e-11 3.090382e-15
970 9.380698e-02 1 3.315141e-05 5.170002e-11 3.076479e-15
980 9.481050e-02 1 3.281811e-05 5.300829e-11 3.171783e-15
990 9.581474e-02 1 3.249319e-05 5.433736e-11 3.269720e-15
1000 9.681969e-02 1 3.217655e-05 5.531019e-11 3.361385e-15
1010 9.782538e-02 1 3.186803e-05 5.666583e-11 3.449016e-15
1020 9.883179e-02 1 3.156741e-05 5.801384e-11 3.549281e-15
1030 9.983893e-02 1 3.127475e-05 5.941137e-11 3.655793e-15
1040 1.008468e-01 1 3.098993e-05 6.082928e-11 3.764838e-15
1050 1.018554e-01 1 3.071291e-05 6.204573e-11 3.871084e-15
1060 1.028648e-01 1 3.044356e-05 6.330418e-11 3.975814e-15
1070 1.038749e-01 1 3.018184e-05 6.477479e-11 4.090212e-15
1080 1.048857e-01 1 2.992798e-05 6.256930e-11 3.971719e-15
1090 1.058973e-01 1 2.968122e-05 6.400741e-11 4.082889e-15
1100 1.069096e-01 1 2.944220e-05 6.447281e-11 4.018333e-15
1110 1.079227e-01 1 2.921069e-05 6.563113e-11 4.070124e-15
1120 1.089365e-01 1 2.898664e-05 6.711957e-11 4.182852e-15
1130 1.099511e-01 1 2.877008e-05 6.862832e-11 4.298003e-15
1140 1.109664e-01 1 2.856105e-05 6.846737e-11 4.235455e-15
1150 1.119825e-01 1 2.835937e-05 6.996991e-11 4.348092e-15
1160 1.129994e-01 1 2.816513e-05 6.924655e-11 4.301338e-15
1170 1.140170e-01 1 2.797830e-05 7.065740e-11 4.404013e-15
1180 1.150354e-01 1 2.779907e-05 6.866615e-11 4.348479e-15
1190 1.160546e-01 1 2.762692e-05 7.010300e-11 4.454437e-15
1200 1.170745e-01 1 2.746234e-05 7.116177e-11 4.486342e-15
1210 1.180952e-01 1 2.730520e-05 7.201568e-11 4.449595e-15
1220 1.191167e-01 1 2.715547e-05 7.235214e-11 4.362957e-15
1230 1.201390e-01 1 2.701304e-05 7.374585e-11 4.412793e-15
1240 1.211621e-01 1 2.687805e-05 7.430737e-11 4.480892e-15
1250 1.221859e-01 1 2.675052e-05 7.339692e-11 4.316292e-15
1260 1.232106e-01 1 2.663064e-05 6.960751e-11 4.385339e-15
1270 1.242360e-01 1 2.651740e-05 7.031992e-11 4.490562e-15
1280 1.252622e-01 1 2.641177e-05 7.179972e-11 4.594530e-15
1290 1.262893e-01 1 2.631360e-05 7.272247e-11 4.712053e-15
1300 1.273171e-01 1 2.622253e-05 7.416540e-11 4.821609e-15
1310 1.283457e-01 1 2.613905e-05 6.941995e-11 4.835187e-15
1320 1.293751e-01 1 2.606289e-05 6.923749e-11 4.839564e-15
1330 1.304054e-01 1 2.599326e-05 7.045330e-11 4.938536e-15
1340 1.314364e-01 1 2.593117e-05 7.027459e-11 4.859870e-15
1350 1.324683e-01 1 2.587635e-05 7.006190e-11 4.968604e-15
1360 1.335009e-01 1 2.582831e-05 6.947665e-11 4.813770e-15
1370 1.345344e-01 1 2.578740e-05 6.646745e-11 4.822469e-15
1380 1.355687e-01 1 2.575329e-05 6.671065e-11 4.913998e-15
1390 1.366039e-01 1 2.572611e-05 6.796833e-11 5.027929e-15
1400 1.376398e-01 1 2.570585e-05 6.868490e-11 5.137865e-15
