step time f_darcy f_darcy_dpdx tau_avg u_bulk reynolds
0 0.000000e+00 6.778136e-03 1.574186e-01 1.227154e-04 3.805743e-01 5.074324e+03
10 6.783229e-03 1.190540e-02 1.566258e-01 2.166334e-04 3.815362e-01 5.087149e+03
20 1.376999e-02 1.642884e-02 1.558536e-01 3.004242e-04 3.824803e-01 5.099737e+03
30 2.091929e-02 2.019512e-02 1.550962e-01 3.710993e-04 3.834130e-01 5.112173e+03
40 2.821517e-02 2.334156e-02 1.543504e-01 4.309899e-04 3.843382e-01 5.124510e+03
50 3.565024e-02 2.603485e-02 1.536135e-01 4.830262e-04 3.852590e-01 5.136786e+03
60 4.322128e-02 2.840754e-02 1.528838e-01 5.295622e-04 3.861772e-01 5.149030e+03
70 5.092745e-02 3.055537e-02 1.521602e-01 5.723101e-04 3.870944e-01 5.161259e+03
80 5.876944e-02 3.254627e-02 1.514417e-01 6.124922e-04 3.880116e-01 5.173488e+03
90 6.674892e-02 3.442898e-02 1.507279e-01 6.509917e-04 3.889293e-01 5.185724e+03
100 7.486801e-02 3.623922e-02 1.500184e-01 6.884606e-04 3.898478e-01 5.197971e+03
110 8.312889e-02 3.800350e-02 1.493133e-01 7.253873e-04 3.907673e-01 5.210230e+03
120 9.153334e-02 3.974143e-02 1.486128e-01 7.621356e-04 3.916872e-01 5.222496e+03
130 1.000824e-01 4.146702e-02 1.479173e-01 7.989670e-04 3.926070e-01 5.234760e+03
140 1.087761e-01 4.318939e-02 1.472273e-01 8.360524e-04 3.935258e-01 5.247011e+03
150 1.176134e-01 4.491327e-02 1.465438e-01 8.734785e-04 3.944425e-01 5.259234e+03
160 1.265921e-01 4.663923e-02 1.458674e-01 9.112511e-04 3.953560e-01 5.271414e+03
170 1.357088e-01 4.836427e-02 1.451990e-01 9.493054e-04 3.962649e-01 5.283533e+03
180 1.449590e-01 5.008237e-02 1.445394e-01 9.875142e-04 3.971680e-01 5.295573e+03
190 1.543376e-01 5.178504e-02 1.438896e-01 1.025699e-03 3.980639e-01 5.307519e+03
200 1.638384e-01 5.346207e-02 1.432500e-01 1.063643e-03 3.989515e-01 5.319353e+03
210 1.734549e-01 5.510224e-02 1.426214e-01 1.101107e-03 3.998298e-01 5.331064e+03
220 1.831802e-01 5.669408e-02 1.420040e-01 1.137842e-03 4.006980e-01 5.342639e+03
230 1.930070e-01 5.822650e-02 1.413983e-01 1.173604e-03 4.015553e-01 5.354071e+03
240 2.029279e-01 5.968939e-02 1.408043e-01 1.208165e-03 4.024015e-01 5.365353e+03
250 2.129359e-01 6.107400e-02 1.402220e-01 1.241324e-03 4.032360e-01 5.376480e+03
260 2.230236e-01 6.237323e-02 1.396514e-01 1.272910e-03 4.040590e-01 5.387453e+03
270 2.331842e-01 6.358179e-02 1.390922e-01 1.302791e-03 4.048704e-01 5.398272e+03
280 2.434109e-01 6.469618e-02 1.385441e-01 1.330870e-03 4.056705e-01 5.408940e+03
290 2.536973e-01 6.571463e-02 1.380066e-01 1.357085e-03 4.064597e-01 5.419462e+03
300 2.640375e-01 6.663696e-02 1.374794e-01 1.381409e-03 4.072383e-01 5.429844e+03
310 2.744257e-01 6.746436e-02 1.369619e-01 1.403846e-03 4.080069e-01 5.440092e+03
320 2.848566e-01 6.819916e-02 1.364537e-01 1.424422e-03 4.087661e-01 5.450214e+03
330 2.953251e-01 6.884460e-02 1.359541e-01 1.443187e-03 4.095164e-01 5.460219e+03
340 3.058268e-01 6.940466e-02 1.354627e-01 1.460205e-03 4.102585e-01 5.470114e+03
350 3.163572e-01 6.988376e-02 1.349789e-01 1.475555e-03 4.109931e-01 5.479908e+03
360 3.269125e-01 7.028670e-02 1.345022e-01 1.489322e-03 4.117207e-01 5.489610e+03
370 3.374890e-01 7.061848e-02 1.340322e-01 1.501600e-03 4.124420e-01 5.499227e+03
380 3.480833e-01 7.088417e-02 1.335683e-01 1.512483e-03 4.131575e-01 5.508767e+03
390 3.586924e-01 7.108880e-02 1.331102e-01 1.522070e-03 4.138678e-01 5.518238e+03
400 3.693135e-01 7.123729e-02 1.326575e-01 1.530455e-03 4.145735e-01 5.527646e+03
410 3.799439e-01 7.133440e-02 1.322097e-01 1.537731e-03 4.152749e-01 5.536999e+03
420 3.905814e-01 7.138466e-02 1.317666e-01 1.543990e-03 4.159726e-01 5.546302e+03
430 4.012237e-01 7.139238e-02 1.313278e-01 1.549317e-03 4.166671e-01 5.555561e+03
440 4.118689e-01 7.136159e-02 1.308929e-01 1.553793e-03 4.173586e-01 5.564781e+03
450 4.225151e-01 7.129606e-02 1.304619e-01 1.557495e-03 4.180475e-01 5.573967e+03
460 4.331608e-01 7.119930e-02 1.300343e-01 1.560496e-03 4.187342e-01 5.583123e+03
470 4.438044e-01 7.107456e-02 1.296101e-01 1.562861e-03 4.194190e-01 5.592253e+03
480 4.544445e-01 7.092482e-02 1.291889e-01 1.564652e-03 4.201021e-01 5.601361e+03
490 4.650798e-01 7.075284e-02 1.287707e-01 1.565928e-03 4.207837e-01 5.610450e+03
500 4.757093e-01 7.056112e-02 1.283552e-01 1.566740e-03 4.214642e-01 5.619522e+03
510 4.863318e-01 7.035198e-02 1.279424e-01 1.567136e-03 4.221436e-01 5.628581e+03
520 4.969465e-01 7.012750e-02 1.275321e-01 1.567162e-03 4.228222e-01 5.637629e+03
530 5.075524e-01 6.988959e-02 1.271241e-01 1.566857e-03 4.235000e-01 5.646667e+03
540 5.181487e-01 6.963999e-02 1.267185e-01 1.566259e-03 4.241773e-01 5.655698e+03
550 5.287347e-01 6.938025e-02 1.263150e-01 1.565401e-03 4.248542e-01 5.664722e+03
560 5.393098e-01 6.911182e-02 1.259137e-01 1.564314e-03 4.255307e-01 5.673742e+03
570 5.498735e-01 6.884687e-02 1.255304e-01 1.563076e-03 4.261798e-01 5.682398e+03
580 5.604257e-01 6.858078e-02 1.251569e-01 1.561681e-03 4.268153e-01 5.690871e+03
590 5.709661e-01 6.832011e-02 1.248009e-01 1.560184e-03 4.274237e-01 5.698983e+03
600 5.814948e-01 6.805387e-02 1.244464e-01 1.558531e-03 4.280320e-01 5.707094e+03
610 5.920115e-01 6.778854e-02 1.241012e-01 1.556772e-03 4.286269e-01 5.715025e+03
620 6.025162e-01 6.752471e-02 1.237652e-01 1.554923e-03 4.292083e-01 5.722778e+03
630 6.130090e-01 6.726294e-02 1.234383e-01 1.552998e-03 4.297763e-01 5.730351e+03
640 6.234897e-01 6.701003e-02 1.231280e-01 1.551057e-03 4.303174e-01 5.737566e+03
650 6.339588e-01 6.675363e-02 1.228189e-01 1.549012e-03 4.308587e-01 5.744783e+03
660 6.444159e-01 6.649414e-02 1.225107e-01 1.546871e-03 4.314002e-01 5.752003e+03
670 6.548609e-01 6.623209e-02 1.222036e-01 1.544647e-03 4.319420e-01 5.759226e+03
680 6.652936e-01 6.597463e-02 1.219051e-01 1.542410e-03 4.324704e-01 5.766272e+03
690 6.757144e-01 6.572862e-02 1.216229e-01 1.540225e-03 4.329720e-01 5.772960e+03
700 6.861237e-01 6.548752e-02 1.213490e-01 1.538039e-03 4.334603e-01 5.779471e+03
710 6.965216e-01 6.524473e-02 1.210759e-01 1.535793e-03 4.339489e-01 5.785985e+03
720 7.069082e-01 6.501389e-02 1.208187e-01 1.533617e-03 4.344106e-01 5.792141e+03
730 7.172837e-01 6.478164e-02 1.205621e-01 1.531390e-03 4.348725e-01 5.798300e+03
740 7.276482e-01 6.456179e-02 1.203213e-01 1.529248e-03 4.353075e-01 5.804101e+03
750 7.380019e-01 6.434085e-02 1.200810e-01 1.527064e-03 4.357428e-01 5.809904e+03
760 7.483450e-01 6.411884e-02 1.198413e-01 1.524839e-03 4.361784e-01 5.815712e+03
770 7.586777e-01 6.390974e-02 1.196171e-01 1.522715e-03 4.365870e-01 5.821160e+03
780 7.690003e-01 6.369963e-02 1.193934e-01 1.520553e-03 4.369958e-01 5.826611e+03
