step time inner_iter continuity_l2 mom_u_l2 mom_v_l2
0 0.000000e+00 5 1.526182e-02 5.647917e-12 1.057679e-15
10 6.783229e-03 5 9.585415e-04 6.208836e-12 1.239928e-15
20 1.376999e-02 5 1.221047e-03 6.872822e-12 7.901105e-16
30 2.091929e-02 5 8.698728e-04 1.055961e-11 1.077937e-15
40 2.821517e-02 5 6.242662e-04 1.752290e-11 1.966527e-15
50 3.565024e-02 5 5.360980e-04 2.992660e-15 3.542099e-15
60 4.322128e-02 5 5.009648e-04 3.050631e-15 9.312319e-19
70 5.092745e-02 5 4.666648e-04 4.998784e-15 1.286614e-18
80 5.876944e-02 5 4.273807e-04 7.887876e-15 2.023830e-18
90 6.674892e-02 5 3.872156e-04 8.590786e-15 1.762476e-18
100 7.486801e-02 5 3.491655e-04 8.941839e-15 2.467671e-18
110 8.312889e-02 5 3.142373e-04 1.003926e-14 3.215602e-18
120 9.153334e-02 5 2.824333e-04 1.068602e-14 3.459637e-18
130 1.000824e-01 5 2.535509e-04 9.447205e-15 3.207096e-18
140 1.087761e-01 5 2.275487e-04 6.825099e-15 2.367111e-18
150 1.176134e-01 5 2.046039e-04 6.277535e-15 2.174468e-18
160 1.265921e-01 5 1.849977e-04 2.426131e-15 9.769371e-19
170 1.357088e-01 5 1.689250e-04 2.382535e-15 9.970000e-19
180 1.449590e-01 5 1.563177e-04 2.878664e-15 1.668137e-18
190 1.543376e-01 5 1.467637e-04 2.059650e-15 7.750336e-15
200 1.638384e-01 5 1.395721e-04 1.531726e-11 6.567918e-15
210 1.734549e-01 5 1.339535e-04 1.507791e-11 6.444189e-15
220 1.831802e-01 5 1.292183e-04 2.814602e-15 1.219053e-18
230 1.930070e-01 5 1.249072e-04 3.324970e-15 1.387290e-18
240 2.029279e-01 5 1.208304e-04 3.139262e-15 1.299226e-18
250 2.129359e-01 5 1.170317e-04 2.960794e-15 7.557425e-15
260 2.230236e-01 5 1.137104e-04 2.561722e-15 7.009391e-15
270 2.331842e-01 5 1.111258e-04 2.334095e-15 6.686293e-15
280 2.434109e-01 5 1.095079e-04 2.321299e-15 6.655500e-15
290 2.536973e-01 5 1.089819e-04 2.176926e-15 6.239181e-15
300 2.640375e-01 5 1.095369e-04 2.308755e-15 6.102608e-15
310 2.744257e-01 5 1.110288e-04 3.889946e-15 1.329857e-18
320 2.848566e-01 5 1.132274e-04 3.565012e-15 6.924895e-15
330 2.953251e-01 5 1.158648e-04 3.170924e-15 6.358779e-15
340 3.058268e-01 5 1.186811e-04 2.703874e-15 5.923415e-15
350 3.163572e-01 5 1.214509e-04 2.458260e-15 5.454282e-15
360 3.269125e-01 5 1.239970e-04 3.396821e-15 5.816070e-15
370 3.374890e-01 5 1.261922e-04 4.107435e-15 6.015428e-15
380 3.480833e-01 5 1.279542e-04 3.608139e-15 5.510986e-15
390 3.586924e-01 5 1.292377e-04 3.128908e-15 5.110042e-15
400 3.693135e-01 5 1.300268e-04 2.765929e-15 4.695235e-15
410 3.799439e-01 5 1.303273e-04 4.742394e-15 5.287686e-15
420 3.905814e-01 5 1.301607e-04 4.291442e-15 4.945272e-15
430 4.012237e-01 5 1.295588e-04 3.707844e-15 4.582333e-15
440 4.118689e-01 5 1.285596e-04 3.476145e-15 4.234205e-15
450 4.225151e-01 5 1.272046e-04 5.722765e-15 4.669035e-15
460 4.331608e-01 5 1.255365e-04 5.245639e-15 4.378030e-15
470 4.438044e-01 5 1.235971e-04 4.589674e-15 4.072746e-15
480 4.544445e-01 5 1.214267e-04 4.487969e-15 4.094494e-15
490 4.650798e-01 5 1.190634e-04 6.282699e-15 4.106153e-15
500 4.757093e-01 5 1.165420e-04 5.620357e-15 3.850852e-15
510 4.863318e-01 5 1.138947e-04 5.703727e-15 3.665322e-15
520 4.969465e-01 5 1.111502e-04 7.337412e-15 3.578353e-15
530 5.075524e-01 5 1.083345e-04 6.622699e-15 3.375616e-15
540 5.181487e-01 5 1.054701e-04 7.199173e-15 3.222445e-15
550 5.287347e-01 5 1.025773e-04 7.985846e-15 3.070422e-15
560 5.393098e-01 5 9.967337e-05 9.361066e-15 2.909071e-15
570 5.498735e-01 5 1.009542e-04 8.074849e-15 2.795108e-15
580 5.604257e-01 5 9.921414e-05 1.008380e-14 3.275045e-15
590 5.709661e-01 4 9.978966e-05 1.042416e-14 3.260266e-15
600 5.814948e-01 4 9.762246e-05 9.700306e-15 3.260962e-15
610 5.920115e-01 4 9.702061e-05 9.204810e-15 3.214820e-15
620 6.025162e-01 4 9.593643e-05 8.949585e-15 3.071964e-15
630 6.130090e-01 4 9.464700e-05 8.521225e-15 2.958288e-15
640 6.234897e-01 4 9.851298e-05 8.726551e-15 2.854445e-15
650 6.339588e-01 4 9.625080e-05 8.281455e-15 2.720390e-15
660 6.444159e-01 4 9.372300e-05 7.991791e-15 2.628036e-15
670 6.548609e-01 4 9.112709e-05 7.801820e-15 2.514070e-15
680 6.652936e-01 4 9.180389e-05 7.942795e-15 2.432061e-15
690 6.757144e-01 4 9.287202e-05 7.434895e-15 2.340322e-15
700 6.861237e-01 4 9.443363e-05 7.317509e-15 2.258895e-15
710 6.965216e-01 4 8.966281e-05 6.905332e-15 2.187096e-15
720 7.069082e-01 4 9.241443e-05 6.875783e-15 2.220593e-15
730 7.172837e-01 4 9.067850e-05 6.518637e-15 2.161172e-15
740 7.276482e-01 2 9.634383e-05 6.153675e-15 2.108495e-15
750 7.380019e-01 2 9.948931e-05 6.245070e-15 2.209936e-15
760 7.483450e-01 2 9.734002e-05 6.234116e-15 2.127861e-15
770 7.586777e-01 2 9.943103e-05 5.907445e-15 2.064174e-15
780 7.690003e-01 2 9.738444e-05 5.598362e-15 2.005577e-15
790 7.793127e-01 2 9.501966e-05 5.305841e-15 1.951287e-15
800 7.896151e-01 4 8.903739e-05 5.031737e-15 1.900548e-15
810 7.999078e-01 4 8.928178e-05 4.771829e-15 1.853405e-15
820 8.101908e-01 2 9.938610e-05 4.801044e-15 1.810458e-15
830 8.204646e-01 4 9.097256e-05 4.761933e-15 1.769881e-15
840 8.307291e-01 2 9.261658e-05 4.520544e-15 1.729926e-15
850 8.409844e-01 2 9.328795e-05 4.293972e-15 1.691561e-15
860 8.512306e-01 4 8.962274e-05 4.269317e-15 1.675887e-15
870 8.614681e-01 2 9.386231e-05 4.329343e-15 1.687104e-15
880 8.716969e-01 2 9.666532e-05 4.113204e-15 1.647717e-15
890 8.819172e-01 2 9.504757e-05 3.716485e-15 1.754914e-15
900 8.921292e-01 2 8.926407e-05 3.532379e-15 1.699202e-15
910 9.023329e-01 2 9.526921e-05 3.370808e-15 1.648390e-15
920 9.125287e-01 2 9.727356e-05 3.205132e-15 1.600307e-15
930 9.227165e-01 2 9.668785e-05 3.047924e-15 1.555028e-15
940 9.328968e-01 2 9.982185e-05 2.900239e-15 1.512946e-15
950 9.430700e-01 2 9.868628e-05 2.716740e-15 1.473118e-15
960 9.532360e-01 2 9.684229e-05 2.585468e-15 1.435413e-15
970 9.633948e-01 2 9.484088e-05 2.499767e-15 1.399891e-15
980 9.735464e-01 2 9.278513e-05 2.437475e-15 1.366094e-15
990 9.836907e-01 2 9.070663e-05 2.360204e-15 1.334241e-15
1000 9.938277e-01 2 8.862225e-05 2.159714e-15 1.303830e-15
1010 1.003958e+00 2 8.654362e-05 2.057100e-15 1.274784e-15
1020 1.014080e+00 2 8.447947e-05 2.151453e-15 1.283271e-15
1030 1.024195e+00 2 8.243646e-05 2.048115e-15 1.253692e-15
1040 1.034303e+00 2 8.041975e-05 1.959047e-15 1.226628e-15
1050 1.044404e+00 2 7.843337e-05 1.749594e-15 1.304475e-15
1060 1.054497e+00 2 7.972230e-05 1.666894e-15 1.267970e-15
1070 1.064583e+00 1 9.915727e-05 1.588216e-15 1.233162e-15
1080 1.074663e+00 2 8.284906e-05 1.514435e-15 1.202110e-15
1090 1.084737e+00 1 9.906728e-05 1.589218e-11 1.171650e-15
1100 1.094804e+00 2 8.308241e-05 1.539530e-11 1.144538e-15
1110 1.104865e+00 2 8.911880e-05 1.491473e-11 1.118584e-15
1120 1.114920e+00 2 8.975653e-05 1.445039e-11 1.094106e-15
1130 1.124969e+00 2 8.858146e-05 1.400166e-11 1.071008e-15
1140 1.135012e+00 2 8.427979e-05 1.400645e-11 1.051254e-15
1150 1.145049e+00 1 9.876626e-05 1.369104e-11 1.031649e-15
1160 1.155081e+00 2 8.802478e-05 1.327864e-11 1.012888e-15
1170 1.165107e+00 2 8.722287e-05 1.278584e-11 9.945214e-16
1180 1.175128e+00 2 8.902502e-05 1.279926e-11 1.000545e-15
1190 1.185143e+00 1 9.602191e-05 1.241229e-11 9.819202e-16
1200 1.195153e+00 1 9.539860e-05 1.204021e-11 9.646511e-16
1210 1.205158e+00 2 8.764002e-05 1.174029e-11 1.030344e-15
1220 1.215158e+00 1 9.836296e-05 1.139113e-11 1.008731e-15
1230 1.225153e+00 1 9.680649e-05 1.104482e-11 9.869848e-16
1240 1.235143e+00 1 9.714503e-05 1.089882e-11 9.668914e-16
1250 1.245128e+00 1 9.543554e-05 1.057029e-11 9.474660e-16
1260 1.255108e+00 2 8.720421e-05 1.025464e-11 9.295459e-16
1270 1.265084e+00 1 9.681290e-05 9.947161e-12 9.120675e-16
1280 1.275054e+00 1 9.538130e-05 9.638183e-12 8.951330e-16
1290 1.285021e+00 1 9.473959e-05 9.352762e-12 8.799539e-16
1300 1.294983e+00 1 9.512624e-05 9.076648e-12 8.654815e-16
1310 1.304940e+00 1 9.871662e-05 8.810894e-12 8.523024e-16
1320 1.314893e+00 1 9.449361e-05 8.552352e-12 8.392907e-16
1330 1.324842e+00 1 9.552547e-05 8.303466e-12 8.274136e-16
1340 1.334787e+00 1 9.536099e-05 8.204978e-12 1.229926e-15
1350 1.344727e+00 1 9.406248e-05 8.605533e-12 1.225310e-15
1360 1.354663e+00 1 9.870133e-05 8.360158e-12 1.209121e-15
1370 1.364596e+00 1 9.388557e-05 8.121486e-12 1.192724e-15
1380 1.374524e+00 1 9.720021e-05 9.252869e-12 1.231274e-15
1390 1.384449e+00 1 9.776673e-05 8.981952e-12 1.211673e-15
1400 1.394369e+00 1 9.712862e-05 8.720196e-12 1.192915e-15
1410 1.404286e+00 1 9.600983e-05 8.502626e-12 1.175906e-15
1420 1.414199e+00 1 9.469377e-05 8.256860e-12 1.158654e-15
1430 1.424108e+00 1 9.329360e-05 8.068204e-12 1.810777e-15
1440 1.434014e+00 1 9.185582e-05 7.848337e-12 1.788853e-15
1450 1.443915e+00 1 9.040124e-05 7.636254e-12 1.767524e-15
1460 1.453813e+00 1 8.893987e-05 7.501724e-12 1.746794e-15
1470 1.463706e+00 1 8.747723e-05 7.302683e-12 1.726590e-15
1480 1.473596e+00 1 8.601687e-05 7.089608e-12 1.707050e-15
1490 1.483482e+00 1 8.456129e-05 6.905252e-12 1.687891e-15
1500 1.493365e+00 1 8.311250e-05 6.675992e-12 1.669203e-15
1510 1.503243e+00 1 8.167212e-05 6.505952e-12 1.651025e-15
1520 1.513117e+00 1 8.024159e-05 7.903498e-12 1.639371e-15
1530 1.522988e+00 1 7.882202e-05 7.699897e-12 1.621735e-15
1540 1.532855e+00 1 7.741460e-05 7.503242e-12 1.604561e-15
1550 1.542718e+00 1 7.602027e-05 7.313300e-12 1.587835e-15
1560 1.552577e+00 1 7.463993e-05 9.374272e-12 1.579840e-15
1570 1.562432e+00 1 7.327430e-05 9.126292e-12 1.562903e-15
1580 1.572283e+00 1 7.192411e-05 8.886417e-12 1.546471e-15
1590 1.582131e+00 1 7.058988e-05 8.654373e-12 1.530522e-15
1600 1.591974e+00 1 6.927214e-05 8.488937e-12 1.515341e-15
1610 1.601814e+00 1 6.797133e-05 8.264279e-12 1.500088e-15
1620 1.611650e+00 1 6.668787e-05 8.052580e-12 1.485452e-15
